# Colour mapping wheel, version 0.3.
#
# Every tile, where it is, and nothing else. This file is the wheel.
#
# **The wheel's version is not the mapping version.** The key stamps say which
# colour rule drew a mark and are integers, 0 through 3. This is the version of
# the tricolour arrangement -- which three squares stand for which stretch of
# the draw -- and it moves when a tile moves. Version 3 of the colour rule and
# version 0.3 of the wheel are different numbers about different things that
# happen to have arrived together.
#
# **One file, and all 165 in it.** `hand.tsv` held only what had been argued
# about -- the ring, the handful moved between tiers, and the rejected set --
# and the other 34 were placed by the packer falling through to its default.
# Nothing was lost that way, because the packing is deterministic and the wheel
# redrew identically. But the file did not *say* where a third of the tiles
# were, so it could not be read as the record of what was decided, and
# `purple purple white` sat in a tier with its argument written down in
# `perceptual.py` and no line here at all. Every tile now has a line.
#
# **The number is the position, and the position is clockwise from the top.**
# It was the triple's index in the palette enumeration, which no render could
# move -- the right choice while the ring was still being settled, when a note
# saying "promote #143" had to still mean that by the time the next picture
# came back. The ring is closed now, 360 of 360 with nothing spare, so the
# churn that protected against cannot happen, and a number is free to do the
# more useful job of telling you where to look. The ring is 1 to 63 and walks
# the hue circle; the tiers behind it follow, outward-in and clockwise within
# each; then the three sunk bands in the order they are drawn; then the six
# that average to a neutral and have no place at all.
#
# **The triple is on the line, so the number does not have to be trusted.**
# Keying by number alone was what stopped a triple being transcribed onto the
# wrong tile, and that protection is kept by carrying both: the engine reads
# the names, and the number is checked against the line it sits on. If the two
# disagree the file says so rather than drawing something wrong.
#
# To move a tile, change its angle. To renumber after moving one, sort.
#
#   ring <deg>    on the ring, at that angle
#   tier          off the ring, wherever the packing puts it
#   eject         off the ring by decision rather than for want of room
#   in / out <k>  off the ring, k tiers deeper / further out than that
#   sink <deg>    rejected outright; the band is read off the colour
#   hueless       averages to a neutral, so there is no hue to stand on
#
#  n	verdict	where	triple
1	ring	6.376	red orange purple
2	ring	12.376	orange orange purple
3	ring	18.376	red black white
4	ring	26.376	red brown white
5	ring	32.376	red red black
6	ring	34.876	red red red
7	ring	37.376	red red brown
8	ring	41.376	red brown brown
9	ring	45.376	red red orange
10	ring	51.376	red orange black
11	ring	59.376	red orange brown
12	ring	65.376	red orange orange
13	ring	69.376	red red yellow
14	ring	73.376	orange orange black
15	ring	79.376	red yellow brown
16	ring	87.376	orange yellow brown
17	ring	95.376	orange yellow black
18	ring	103.376	yellow brown black
19	ring	109.376	orange yellow yellow
20	ring	113.376	yellow yellow brown
21	ring	117.376	yellow yellow black
22	ring	123.376	orange yellow green
23	ring	131.376	orange green black
24	ring	139.376	yellow green brown
25	ring	147.376	yellow green white
26	ring	155.376	yellow green black
27	ring	161.376	green brown brown
28	ring	165.376	orange green green
29	ring	169.376	yellow green green
30	ring	175.376	green brown black
31	ring	181.376	green green brown
32	ring	185.376	green green black
33	ring	187.876	green green green
34	ring	190.376	green green white
35	ring	196.376	green black white
36	ring	202.376	green green blue
37	ring	208.376	green blue black
38	ring	216.376	green blue brown
39	ring	224.376	green blue white
40	ring	230.376	green blue blue
41	ring	232.876	blue blue blue
42	ring	235.376	blue blue black
43	ring	241.376	blue black white
44	ring	247.376	blue blue purple
45	ring	253.376	blue purple black
46	ring	261.376	blue purple white
47	ring	267.376	blue purple purple
48	ring	273.376	blue purple brown
49	ring	279.376	red blue blue
50	ring	285.376	purple black white
51	ring	289.876	purple purple purple
52	ring	292.376	purple purple black
53	ring	296.376	purple purple brown
54	ring	302.376	red blue purple
55	ring	310.376	purple brown white
56	ring	316.376	red purple purple
57	ring	320.376	purple brown brown
58	ring	326.376	red blue brown
59	ring	334.376	red purple black
60	ring	342.376	red purple brown
61	ring	348.376	red red blue
